Date and time;Alarm;Status
13/06/2022 10:09:14;Sensor #33 module error;ON
13/06/2022 10:09:14;Sensor #33 Low Supercapacitor voltage;ON
13/06/2022 10:09:14;Sensor #32 module error;ON
13/06/2022 10:09:14;Sensor #32 Low Supercapacitor voltage;ON
13/06/2022 10:09:14;Sensor #31 module error;ON
13/06/2022 10:09:14;Sensor #31 Low Supercapacitor voltage;ON
13/06/2022 10:09:14;Sensor #30 module error;ON
13/06/2022 10:09:14;Sensor #30 Low Supercapacitor voltage;ON
13/06/2022 10:09:14;Sensor #29 module error;ON
13/06/2022 10:09:14;Sensor #29 Low Supercapacitor voltage;ON
13/06/2022 10:09:14;Sensor #28 module error;ON
13/06/2022 10:09:14;Sensor #28 Low Supercapacitor voltage;ON
13/06/2022 10:09:14;Sensor #27 module error;ON
13/06/2022 10:09:13;Sensor #27 Low Supercapacitor voltage;ON
13/06/2022 10:09:13;Sensor #26 module error;ON
13/06/2022 10:09:13;Sensor #26 Low Supercapacitor voltage;ON
13/06/2022 10:09:13;Sensor #25 module error;ON
13/06/2022 10:09:13;Sensor #25 Low Supercapacitor voltage;ON
13/06/2022 10:09:13;Sensor #24 module error;ON
13/06/2022 10:09:13;Sensor #24 Low Supercapacitor voltage;ON
13/06/2022 10:09:13;Sensor #23 module error;ON
13/06/2022 10:09:13;Sensor #23 Low Supercapacitor voltage;ON
13/06/2022 10:09:13;Sensor #22 module error;ON
13/06/2022 10:09:13;Sensor #22 Low Supercapacitor voltage;ON
13/06/2022 10:09:13;Sensor #21 module error;ON
13/06/2022 10:09:13;Sensor #21 Low Supercapacitor voltage;ON
13/06/2022 10:09:13;Sensor #20 module error;ON
13/06/2022 10:09:13;Sensor #20 Low Supercapacitor voltage;ON
13/06/2022 10:09:13;Sensor #19 module error;ON
13/06/2022 10:09:13;Sensor #19 Low Supercapacitor voltage;ON
13/06/2022 10:09:13;Sensor #18 module error;ON
13/06/2022 10:09:13;Sensor #18 Low Supercapacitor voltage;ON
13/06/2022 10:09:13;Sensor #17 module error;ON
13/06/2022 10:09:13;Sensor #17 Low Supercapacitor voltage;ON
13/06/2022 10:09:12;Sensor #16 module error;ON
13/06/2022 10:09:12;Sensor #16 Low Supercapacitor voltage;ON
13/06/2022 10:09:12;Sensor #15 module error;ON
13/06/2022 10:09:12;Sensor #15 Low Supercapacitor voltage;ON
13/06/2022 10:09:12;Sensor #14 module error;ON
13/06/2022 10:09:12;Sensor #14 Low Supercapacitor voltage;ON
13/06/2022 10:09:12;Sensor #13 module error;ON
13/06/2022 10:09:12;Sensor #13 Low Supercapacitor voltage;ON
13/06/2022 10:09:12;Sensor #12 module error;ON
13/06/2022 10:09:12;Sensor #12 Low Supercapacitor voltage;ON
13/06/2022 10:09:12;Sensor #11 module error;ON
13/06/2022 10:09:12;Sensor #11 Low Supercapacitor voltage;ON
13/06/2022 10:09:12;Sensor #10 module error;ON
13/06/2022 10:09:12;Sensor #10 Low Supercapacitor voltage;ON
13/06/2022 10:09:12;Sensor #9 module error;ON
13/06/2022 10:09:12;Sensor #9 Low Supercapacitor voltage;ON
13/06/2022 10:09:12;Sensor #8 module error;ON
